variable,n_valid,pct_missing,min,p1,p5,median,p95,p99,max,n_outside_bounds
temp_f,52935,3.3,90.0,96.5,97.1,98.2,100.0,102.7,109.0,19
PULSE,52926,3.3,1.0,54.0,62.0,88.0,136.0,168.0,228.0,48
RESPR,53167,2.9,1.0,14.0,16.0,18.0,28.0,42.0,80.0,14
BPSYS,49139,10.2,64.0,90.0,101.0,131.0,177.0,200.0,287.0,0
BPDIAS,49070,10.4,22.0,48.0,57.0,78.0,102.0,116.0,190.0,0
POPCT,52556,4.0,0.0,88.0,94.0,98.0,100.0,100.0,100.0,0
PAINSCALE,41974,23.3,0.0,0.0,0.0,5.0,10.0,10.0,10.0,0
shock_index,47919,12.5,0.1,0.33819020837839786,0.4146341463414634,0.6518987341772152,1.065609800036029,1.4014642857142852,2.6857142857142855,0
